"","Row.names","alpha_diversity","SampleID","ID","Time","Diet","Injury","Group"
"1","Martens-01-HFD2-Pre-surgery",3.9030317839206,"Martens-01-HFD2-Pre-surgery",2,"Pre","HFD","TBI","HFD TBI"
"2","Martens-02-HFD3-Pre-surgery",4.51430826372871,"Martens-02-HFD3-Pre-surgery",3,"Pre","HFD","Sham","HFD Sham"
"3","Martens-03-HFD5-Pre-surgery",4.12877618738184,"Martens-03-HFD5-Pre-surgery",5,"Pre","HFD","Sham","HFD Sham"
"4","Martens-04-HFD6-Pre-surgery",3.75406010108397,"Martens-04-HFD6-Pre-surgery",6,"Pre","HFD","TBI","HFD TBI"
"5","Martens-05-HFD7-Pre-surgery",4.60539220716344,"Martens-05-HFD7-Pre-surgery",7,"Pre","HFD","Sham","HFD Sham"
"6","Martens-06-HFD8-Pre-surgery",4.60421615184818,"Martens-06-HFD8-Pre-surgery",8,"Pre","HFD","TBI","HFD TBI"
"7","Martens-07-HFD9-Pre-surgery",4.09893911697799,"Martens-07-HFD9-Pre-surgery",9,"Pre","LFD","TBI","LFD TBI"
"8","Martens-08-HFD10-Pre-surgery",4.32683621781333,"Martens-08-HFD10-Pre-surgery",10,"Pre","LFD","TBI","LFD TBI"
"9","Martens-09-HFD12-Pre-surgery",4.40383578377355,"Martens-09-HFD12-Pre-surgery",12,"Pre","LFD","Sham","LFD Sham"
"10","Martens-10-HFD13-Pre-surgery",4.04428328464275,"Martens-10-HFD13-Pre-surgery",13,"Pre","LFD","Sham","LFD Sham"
"11","Martens-11-HFD16-Pre-surgery",4.19318103266755,"Martens-11-HFD16-Pre-surgery",16,"Pre","LFD","TBI","LFD TBI"
"12","Martens-12-HFD20-Pre-surgery",4.23398419551569,"Martens-12-HFD20-Pre-surgery",20,"Pre","HFD","Sham","HFD Sham"
"13","Martens-13-HFD21-Pre-surgery",4.51378970306995,"Martens-13-HFD21-Pre-surgery",21,"Pre","HFD","Sham","HFD Sham"
"14","Martens-14-HFD22-Pre-surgery",4.44805559043833,"Martens-14-HFD22-Pre-surgery",22,"Pre","HFD","TBI","HFD TBI"
"15","Martens-15-HFD23-Pre-surgery",4.17919919766354,"Martens-15-HFD23-Pre-surgery",23,"Pre","HFD","Sham","HFD Sham"
"16","Martens-16-HFD26-Pre-surgery",4.38249092612212,"Martens-16-HFD26-Pre-surgery",26,"Pre","LFD","TBI","LFD TBI"
"17","Martens-17-HFD27-Pre-surgery",4.27761735208588,"Martens-17-HFD27-Pre-surgery",27,"Pre","LFD","TBI","LFD TBI"
"18","Martens-18-HFD29-Pre-surgery",4.23420462712277,"Martens-18-HFD29-Pre-surgery",29,"Pre","LFD","Sham","LFD Sham"
"19","Martens-19-HFD32-Pre-surgery",4.30003781007411,"Martens-19-HFD32-Pre-surgery",32,"Pre","LFD","Sham","LFD Sham"
"20","Martens-20-HFD35-Pre-surgery",3.47132085158524,"Martens-20-HFD35-Pre-surgery",35,"Pre","HFD","TBI","HFD TBI"
"21","Martens-21-HFD36-Pre-surgery",3.63282132064405,"Martens-21-HFD36-Pre-surgery",36,"Pre","HFD","TBI","HFD TBI"
"22","Martens-22-HFD37-Pre-surgery",4.53555132912268,"Martens-22-HFD37-Pre-surgery",37,"Pre","LFD","Sham","LFD Sham"
"23","Martens-23-HFD39-Pre-surgery",4.21247950013072,"Martens-23-HFD39-Pre-surgery",39,"Pre","LFD","Sham","LFD Sham"
"24","Martens-24-HFD40-Pre-surgery",4.02428464311463,"Martens-24-HFD40-Pre-surgery",40,"Pre","LFD","TBI","LFD TBI"
"25","Martens-25-HFD2-3",3.43026760486212,"Martens-25-HFD2-3",2,"D3","HFD","TBI","HFD TBI"
"26","Martens-26-HFD3-3",3.73700543617382,"Martens-26-HFD3-3",3,"D3","HFD","Sham","HFD Sham"
